公司	类型	时间	名称	内容	金额	占比	金额单位
句容宁武新材料股份有限公司	客户	2017年1-6月	亨斯迈集团	未提及	15,679.32	18.63%	万元
句容宁武新材料股份有限公司	客户	2017年1-6月	宏迪集团	未提及	10,151.94	12.06%	万元
句容宁武新材料股份有限公司	客户	2017年1-6月	巴斯夫集团	未提及	8,353.58	9.93%	万元
句容宁武新材料股份有限公司	客户	2017年1-6月	拜耳（科思创）集团	未提及	5,253.42	6.24%	万元
句容宁武新材料股份有限公司	客户	2017年1-6月	土耳其Kimteks公司	未提及	3,880.08	4.61%	万元
句容宁武新材料股份有限公司	客户	2016年度	亨斯迈集团	未提及	30,101.97	20.20%	万元
句容宁武新材料股份有限公司	客户	2016年度	宏迪集团	未提及	19,656.97	13.19%	万元
句容宁武新材料股份有限公司	客户	2016年度	巴斯夫集团	未提及	9,232.31	6.20%	万元
句容宁武新材料股份有限公司	客户	2016年度	拜耳（科思创）集团	未提及	7,682.73	5.16%	万元
句容宁武新材料股份有限公司	客户	2016年度	马来西亚ORIKEN销售有限公司	未提及	4,007.15	2.69%	万元
句容宁武新材料股份有限公司	供应商	2017年1-6月	无棣鑫岳化工有限公司	环氧丙烷	17,167.62	22.29%	万元
句容宁武新材料股份有限公司	供应商	2017年1-6月	山东金岭化工股份有限公司	环氧丙烷	16,316.14	21.19%	万元
句容宁武新材料股份有限公司	供应商	2017年1-6月	利安德大中华集团有限公司	环氧丙烷	8,125.26	10.55%	万元
句容宁武新材料股份有限公司	供应商	2017年1-6月	东营华泰精细化工有限责任公司	环氧丙烷	2,907.34	3.78%	万元
句容宁武新材料股份有限公司	供应商	2017年1-6月	南京佳润化工有限公司	环氧乙烷	2,582.20	3.35%	万元
句容宁武新材料股份有限公司	供应商	2016年度	无棣鑫岳化工有限公司	环氧丙烷	28,430.72	21.82%	万元
句容宁武新材料股份有限公司	供应商	2016年度	山东金岭化工股份有限公司	环氧丙烷	24,686.27	18.95%	万元
