公司	类型	时间	名称	内容	金额	占比	金额单位
山东潍坊润丰化工股份有限公司	客户	2017年度	ALBAUGH AGRO BRASIL LTDA	除草剂	24,005.20	4.76%	万元
山东潍坊润丰化工股份有限公司	客户	2017年度	ATANOR S.C.A	除草剂、杀虫剂	17,665.07	3.50%	万元
山东潍坊润丰化工股份有限公司	客户	2017年度	Albaugh LLC	除草剂、杀菌剂	9,894.08	1.96%	万元
山东潍坊润丰化工股份有限公司	客户	2017年度	NUFARM INDUSTRIA QUIMICAE FARMACEUTICA SA	除草剂	14,034.20	2.78%	万元
山东潍坊润丰化工股份有限公司	客户	2017年度	NUFARM S.A	除草剂、杀虫剂	9,762.08	1.93%	万元
山东潍坊润丰化工股份有限公司	客户	2016年度	ATANOR DO BRASIL LTDA	除草剂	24,751.35	6.51%	万元
山东潍坊润丰化工股份有限公司	客户	2016年度	Albaugh LLC	除草剂、杀菌剂	13,059.65	3.44%	万元
山东潍坊润丰化工股份有限公司	客户	2016年度	ATANOR S.C.A	除草剂、杀虫剂	6,925.00	1.82%	万元
山东潍坊润丰化工股份有限公司	客户	2016年度	NUFARM INDUSTRIA QUIMICAE FARMACEUTICA SA	除草剂	14,306.74	3.76%	万元
山东潍坊润丰化工股份有限公司	客户	2016年度	NUFARM S.A	除草剂、杀虫剂、杀菌剂	8,496.42	2.23%	万元
山东潍坊润丰化工股份有限公司	供应商	2017年度	河北山立化工有限公司	未提及	43,265.47	11.90%	万元
山东潍坊润丰化工股份有限公司	供应商	2017年度	广安诚信化工有限责任公司	未提及	6,131.25	1.69%	万元
山东潍坊润丰化工股份有限公司	供应商	2017年度	石家庄杰克化工有限公司	未提及	262.88	0.07%	万元
山东潍坊润丰化工股份有限公司	供应商	2017年度	河北临港化工有限公司	未提及	182.04	0.05%	万元
山东潍坊润丰化工股份有限公司	供应商	2017年度	四川和邦生物科技股份有限公司	未提及	25,597.04	7.04%	万元
山东潍坊润丰化工股份有限公司	供应商	2016年度	湖北泰盛化工有限公司	未提及	18,473.53	6.42%	万元
山东潍坊润丰化工股份有限公司	供应商	2016年度	四川和邦生物科技股份有限公司	未提及	15,941.22	5.54%	万元
山东潍坊润丰化工股份有限公司	供应商	2016年度	北京四合科技有限公司	未提及	15,750.66	5.47%	万元
山东潍坊润丰化工股份有限公司	供应商	2016年度	安徽广信农化股份有限公司	未提及	14,220.05	4.94%	万元
山东潍坊润丰化工股份有限公司	供应商	2016年度	河北山立化工有限公司	未提及	11,076.79	3.85%	万元

广东拓斯达科技股份有限公司	客户	2016年1-6月	捷普绿点	吸料机、模温机、三机一体、机械手	809.27	5.19%	万元
广东拓斯达科技股份有限公司	客户	2016年1-6月	陆逊梯卡华宏（东莞）眼镜有限公司	机器人、模温机	450.45	2.89%	万元
广东拓斯达科技股份有限公司	客户	2016年1-6月	比亚迪	机械手、模温机、除湿机	440.93	2.83%	万元
广东拓斯达科技股份有限公司	客户	2016年1-6月	东莞市中泰模具股份有限公司	机器人打磨设备	440.00	2.82%	万元
广东拓斯达科技股份有限公司	客户	2016年1-6月	浙江弘驰科技股份有限公司	自动化供料及水电气	434.19	2.79%	万元
广东拓斯达科技股份有限公司	客户	2016年1-6月	北京嘉诚兴业工贸有限公司	供料系统、冰水机、模温机	359.38	2.31%	万元
广东拓斯达科技股份有限公司	客户	2016年1-6月	深圳市旺鑫精密工业有限公司	打磨项目	340.95	2.19%	万元
