产品大类 	产品系列 	主要用途 						
建筑化学品 	聚羧酸系减水剂聚醚单体 	合成聚羧酸系减水剂，具有掺量低、减水率高、适应性广、坍落度损失小以及混凝土耐久性优异的特性，应用于高性能混凝土制造。 						
建筑化学品 	醇胺类 	生产水泥助磨剂的主要原料，应用于水泥生产中提高水泥性能、降低能耗及生产成本，并可作为生产混凝土外加剂的原料；还广泛应用于日化洗涤、金属防锈、纺织物防静电、聚合物催化剂、油品加工、眼镜加工、刹车液、防冻液等。 						
聚氨酯原料产品 	硬泡聚醚 	合成聚氨酯硬泡制品，应用于冰箱、冰柜和冷库等冷藏保温、建筑外保温、太阳能热水器、汽车保温材料等。 						
聚氨酯原料产品 	软泡聚醚 	合成聚氨酯软泡制品，应用于床垫、沙发、玩具、服装制鞋、汽车和火车等交通工具座垫等。 						
聚氨酯原料产品 	CASE 聚醚 	CASE 聚醚多元醇系以丙二醇、甘油、环氧化物合成，用于聚氨酯弹性体、粘合剂、涂料、防水涂料、化学灌浆材料、鞋底浆						
								
料等。 								
聚合物多元醇以聚醚多元醇、丙烯腈、苯乙烯等合成，适用于制备高回弹软质聚氨酯泡沫塑料、高硬度软泡、自结皮软泡、冷模塑等，下游普遍广泛应用于汽车、高级家私、运动器材、鞋材、玩具等领域。 								
高活性软泡聚醚多元醇系以甘油、环氧化物等合成，适用于制备高回弹聚氨酯泡沫塑料，如汽车、火车、飞机、摩托车、电瓶车、自行车等的坐垫、汽车方向盘、仪表盘等。 								
广泛用于日化、工业清洗、纺织、医药、农药、原油开采、橡胶等行业。 								
								
POP 聚醚 								
高活性聚醚 								
脂肪醇聚氧乙烯、聚氧丙烯醚、聚乙二醇等其他系列 								
								
部门或组织 	简介 	主要职责 						
中国水泥协会水泥助磨剂分会 	成立于 2007 年，是由从事水泥助磨剂原料、科研、生产制造、使用单位及服务领域的独立法人单位自愿组成的全国性社团组织 	宣传、贯彻党和国家节能减排方针、政策，开展行业基本情况调查，向政府部门提出水泥助磨剂技术进步、发展规划及技术、经济、政策和经济法规等方面的建议，并参与有关活动；推动水泥助磨剂产品的安全、节能、环保的科技进步；参与和组织涉及水泥助磨剂产品的有关国家标准的修订工作；为会员提供及时、准确的行业政策、技术发展动态和市场信息；组织国内、国际学术、技术交流；推广水泥助磨剂新技术、新产品。 						
中国建筑材料联	成立于 1986 年，是由全国	每两年开展一次行业基本情况调查，及时向政府						
部门或组织 	简介 	主要职责 						
合会混凝土外加剂分会 	混凝土外加剂生产企业、科研、设计、高校、工程应用单位及相关的社会团体和个人自愿联合组成的行业组织 	领导部门和中国建材联合会反应本行业的问题和意见，并通过制定、贯彻行业标准、规范、行规、行约来加强行业管理；向有关部门提出行业技术进展和发展规划以及技术、经济政策和经济法规等方面建议；加强行业间及行业内的技术、经济合作，协调产销和竞争中出现的问题等。 						
中国聚氨酯工业协会 	成立于 1994 年，下设异氰酸酯、聚醚、泡沫、弹性体、涂料、革鞋用树脂六个专业委员会 	反映会员单位的愿望和要求，维护会员单位的合法权益，协助政府部门对聚氨酯行业进行管理，在政府与企业之间发挥桥梁和纽带作用；为企业、行业和政府决策服务，促进企业之间的横向联系、协作，组织行业信息交流和技术交流活动，积极发展与国外同行业组织的业务联系，开展经济技术等方面的合作与交流活动。 						
								
序号 	主要政策法规 	发布单位 	实施/修订日期 					
1 	中华人民共和国产品质量法 	全国人大 	2009.08.27 					
2 	中华人民共和国监控化学品管理条例 	国务院 	2011.01.08 					
3 	危险化学品登记管理办法 	国家安监总局 	2012.08.01 					
4 	危险化学品安全管理条例 	国务院 	2013.12.07 					
5 	中华人民共和国安全生产法 	全国人大 	2014.08.31 					
6 	中华人民共和国环境保护法 	全国人大 	2015.01.01 					
7 	职业健康检查管理办法 	国家卫计委 	2015.05.01 					
8 	危险化学品经营许可证管理办法 	国家安监总局 	2015.05.27 					
9 	危险化学品生产企业安全生产许可证实施管理办法 	国家安监总局 	2015.05.27 					
								
文件名称 	重点内容 	颁发机构 	时间 					
国家中长期科学和技术发展规划纲要（2006－2020年） 	指出要重点研究开发满足国民经济基础产业发展需求的高性能复合材料及大型、超大型复合结构部件的制备技术，高性能工程塑料，轻质高强金属和无机非金属结构材料，高纯材料，稀土材料，石油化工、精细化工及催化、分离材料，轻纺材料及应用技术，具有环保和健康功能的绿色材料 	国务院 	2006 年 					
“十一五”化学工业科技发展纲要 	提出将精细化工列为“十一五”期间优先发展的六大领域之一，并将表面活性剂等精细化工产品列为“十一五”精细化工技术开发和产业化的重点 	中国石油和化学工业协会 	2006 年 					
农产品冷链物流发展规划 	指出要加快冷链物流基础设施建设，以促进农民持续增收和保障消费安全；提出到 2015 年，推动全社会通过改造、扩建和新建，增加冷库库容1,000 万吨，并争取全社会新增冷藏运输车 4 万辆。冷链物流的发展，将拉动聚氨酯行业需求增长 	国家发改委 	2010 年 					
