序号 	锂离子电池厂商排名 									
1 	宁德时代新能源科技股份有限公司 									
2 	比亚迪股份有限公司 									
3 	深圳市沃特玛电池有限公司 									
4 	国轩高科股份有限公司 									
5 	珠海银隆新能源股份有限公司 									
序号 	锂离子电池厂商排名 									
6 	天津力神电池股份有限公司 									
7 	光宇国际集团科技有限公司 									
8 	北京国能电池科技有限公司 									
9 	万向一二三股份公司 									
10 	深圳市比克动力电池有限公司 									
										
种 类 	人造石墨 	天然石墨 								
原材料 	石油焦、针状焦、沥青焦等 	天然鳞片晶质石墨 								
制造过程 	粉碎、改性、分级、高温石墨化等 	粉碎、球化、分级、纯化、表面处理等 								
能量密度 	310-350mah/g，低于天然石墨 	360mah/g，高于人造石墨 								
循环性能 	好于天然石墨 	较差 								
制造成本3 	因工序较多，相对较高 	相对较低 								
售价4 	相对较高 	相对较低 								
主要适用范围 	动力电池领域 高端消费电池领域 	消费电池领域 								
										
观点来源 	出处 	观点 								
璞泰来 	招股说明书 	目前主流负极产品有天然石墨与人造石墨两大类，人造石墨主要用于大容量的车用动力电池和倍率电池以及中高端电子产品锂离子电池，天然石墨主要用于小型锂离子电池和一般用途的电子产品锂离子电池。 								
中科电气 	发行股份及支付现金购买资产报告书 	由于天然石墨性价比较高，容量、压实、低温性能较好，率先应用于消费类电池领域的生产，且其性能可以满足现阶段电动汽车电池生产的性能要求，因此逐步延伸至动力电池领域；人造石墨由于其价格区间和容量区间较宽，且具备长循环、高温存储、高倍率等天然石墨所不具备的优势，所以人造石墨几乎适用于锂离子电池的所有领域，发展前景较大。 								
翔丰华 	招股说明书 	天然石墨负极材料技术有了较大的进步，其可逆容量已达360mAh/g 以上，并在消费型锂离子电池中获得了广泛的应用。人造石墨负极材料当前的应用非常广泛，其优点是长寿命，较低的极片反弹，而缺点是容量相对较低。 								
中国宝安（贝特瑞母公司） 	Wind，《 投资者调研纪要（2017 年 9月 15 日）》 	目前来看，在消费电子领域，天然石墨占比高于人造石墨；在动力电池领域，国内多采用人造石墨。 								
										
负极材料 	人造石墨 	天然石墨 	中间相碳微球 	石墨烯 	钛酸锂 	硅碳复合材料 	硬碳 			
比容量（mAh/g） 	310-360 	340-370 	300-340 	400-600 	165-170 	>1000 	500-700 			
首次效率 	93% 	90% 	94% 	30% 	99% 	84% 	80% 			
循环寿命（次） 	1000 	1000 	1000 	10 	30000 	200 	无数据 			
安全性 	一般 	一般 	一般 	一般 	高 	差 	一般 			
快充特征 	一般 	一般 	一般 	差 	好 	差 	好 			
负极材料 	人造石墨 	天然石墨 	中间相碳微球 	石墨烯 	钛酸锂 	硅碳复合材料 	硬碳 			
优点 	技术及配套供应成熟，循环性能好 	技术及配套工艺成熟，成本低 	技术及配套工艺成熟，倍率性能好，循环性能好 	电化学储能性能优异，充电速度快，可提高锂电池的负载能力 	倍率性能优异，高低温性能优异，循环性能优异，安全性能优异 	理论比能量高 	倍率性能优秀、材料稳定、膨胀系数小、循环性能好 			
缺点 	比能量低，倍率性能较差，安全性能差 	比能量已到极限，循环性能及倍率性能较差，安全性能差 	比能量低，安全性能较差，成本高 	技术及配套工艺不成熟，成本高 	技术及配套工艺不成熟，成本高，能量密度低 	技术及配套工艺不成熟，成本高，充放电体积变形，导电率低 	成本高、首次效率低、压实密度低、加工性能差、高温性能差 			
发展方向 	提高容量，低成本化，降低内阻 	低成本化，改善循环 	提高容量，低成本化 	低成本化，解决与其他材料的配套问题 	解决钛酸锂与正极、电解液的匹配问题，提高电池能量密度 	低成本化，解决与其他材料的配套问题 	提高首次效率，降低成本 			
										
石墨类型 	产品型号 	产品图片 	中粒径（um) 	设计容量（mAh/g) 	压实（g/cc） 	特点 	用途 			
高 性 价 比人造石墨 	AML400 	 	13.5-19.5 	340 	1.5-1.60 	高低温性能好、循环性能优异、安全性能好、性价比高 	各 类 长 循 环方形、圆柱、聚合物电池 			
高 性 价 比人造石墨 	AML450 	 	15.5-21.5 	340 	1.5-1.60 	高温性能好、循环性能优异、安全性能好、性价比高   	各 类 长 循 环方形、圆柱、聚合物电池 			
高 容 量 人造石墨 	AML350 	 	15.5-21.5 	345-350 	1.55-1.65 	较高容量、较高压实、循环性能优异 	容量型方形、圆柱、聚合物电池 			
倍 率 人 造石墨 	AML410 	 	8-14 	330-335 	1.30-1.55 	高倍率、高性价比、循环性能优异 	倍率型电池、动力电池 			
高 容 高 压实 低 反 弹人造石墨 	AML900 	 	15.5-21.5 	350-355 	1.55-1.70 	低反弹、高容量、高压实、循环性能优异 	高 能 量 密 度方形、圆柱、聚合物电池 			
超 高 容 高压 实 人 造石墨 	YL101 	 	12-18 	350-355 	1.55-1.75 	高容量、高压实、循环性能优异   	高 能 量 密 度方形、圆柱、聚合物电池 			
高倍率、快充 人 造 石墨 	AML410ST 	 	10-16 	330-335 	1.30-1.55 	快充、高倍率、高性价比、循环性能优异 	快充、倍率型电池、动力电池 			
石墨类型 	产品型号 	产品图片 	中粒径（um) 	设计容量（mAh/g) 	压实（g/cc） 	特点 	用途 			
高倍率、快充 人 造 石墨 	AML440ST 	 	10-16 	335-340 	1.40-1.60 	快充、高倍率、高性价比、循环性能优异 	快充、倍率型电池、动力电池 			
高倍率、快充 人 造 石墨 	B1T 	 	5-11 	330 	1.30-1.50 	快充 5C 以上、高倍率、循环性能优异 	快充、倍率型电池、动力电池 			
高 容 高 压实 复 合 石墨 	Y600 	 	13-19 	355-360 	1.60-1.70 	高容量、高压实、循环性能优异 	高 能 量 密 度方形、圆柱、聚合物电池 			
高 容 高 压实 复 合 石墨 	Y600S 	 	9-15 	355-360 	1.60-1.70 	高容量、高压实、循环性能优异 	高 能 量 密 度方形、圆柱、聚合物电池 			
快充、倍率高 容 高 压实 复 合 石墨  	Y600ST 	 	9-15 	355-360 	1.50-1.65 	快充、倍率性能好，高容量高压实 	高 能 量 密 度圆柱、铝壳电池 			
高 容 高 压实 长 循 环复合石墨 	Y600ST-2 	 	11.5-17.5 	355-360 	1.60-1.70 	高容量高压实,循环、倍率性能优异 	高 能 量 密 度圆柱、铝壳电池 			
高 容 高 压实 动 力 人造石墨 	AML402 	 	11.0-17.0 	350-355 	1.55-1.65 	较高容量较高压实 , 综合性能优异，长循环 	各 类 长 循 环方形、圆柱、聚合物电池 			
石墨类型 	产品型号 	产品图片 	中粒径（um) 	设计容量（mAh/g) 	压实（g/cc） 	特点 	用途 			
高 容 高 压实 动 力 人造石墨 	YL201 	 	12.0-18.0 	355-360 	1.60-1.70 	高容量高压实,综合性能优异，长循环 	各 类 长 循 环方形、圆柱、聚合物电池 			
										
销售模式 	2017 年 1-9 月 	2017 年 1-9 月 	2016 年度 	2016 年度 	2015 年度 	2015 年度 	2014 年度 	2014 年度 		
销售模式 										
销售模式 	金额 	比例 	金额 	比例 	金额 	比例 	金额 	比例 		
										
直销 	26,397.88 	99.65 	21,123.58 	97.17 	11,569.49 	94.93 	3,808.19 	90.68 		
										
经销 	91.98 	0.35 	615.81 	2.83 	618.21 	5.07 	391.40 	9.32 		
										
合 计 	26,489.86 	100.00 	21,739.39 	100.00 	12,187.70 	100.00 	4,199.60 	100.00 		
										
公司 	外协加工情形 	未进入石墨化行业的原因 	对石墨化是否为核心环节的相关分析 							
江西紫宸 	将石墨化工序外包 	石墨化基地的建设固定资产投资较大，且石墨化电阻料废料的处置需要稳定的钢厂、铝厂客户资源，专业性较强。 	石墨化为碳素行业传统成熟的工艺，可选择外协加工的厂商比较多。 							
翔丰华 	石墨化工序外包 	未提及 	由于我国石墨资源丰富，石墨化工厂较多，因此不存在单一供应商依赖风险。 							
星城石墨 	石墨化工序外包 	由于石墨化基地的建设对资金需求较大，而星城石墨近年来生产规模的持续扩大已经投入了大量资金，因此石墨化基地项目尚在筹备阶段，暂未开始投资石墨化生产工序。目前石墨化基地的建设主要受制于资金缺口，未有明确的投资时间表。 	石墨化工艺是碳素行业传统成熟的工艺，星城石墨可进行石墨化加工的厂商比较多，星城石墨不依赖于个别加工厂商。因工艺比较成熟，一般不会影响到星城石墨生产的稳定性。 							
正拓能源 	石墨化工序外包； 开始规划自有的石墨化生产基地 	由于“石墨化”生产过程对环保的要求较高，且需要大量的资金投入，国内大部分负极材料厂商均采用外协加工方式进行“石墨化”工序。 	国内能够提供石墨化加工服务的厂家较多 							
贝特瑞 	旗下有山西贝特瑞石墨化厂 	不适用 	不适用 							
上海杉杉 	同一集团内有郴州杉杉石墨化厂，但上海杉杉同时将部分石墨化工序外包给集团外厂商；同时郴州杉杉也对外承接石墨化加工业务 	不适用 	不适用 							
										
出台日期 	政策名称 	发布部门 	电池与电池材料相关 	电池与电池材料相关 						
2017 年 2 月 	《 促进汽 车动 力电 池产业 发展 行动方案》 	国家工信部、国家发展和改革委员会、科学技术部、财政部 	分三个阶段推进我国动力电池发展：2018年，提升现有产品性价比，保障高品质电池供应；2020 年，基于现有技术改进的新一代锂离子动力电池实现大规模应用；2025 年，采用新化学原理的新体系电池力争实现技术变革和开发测试。 	分三个阶段推进我国动力电池发展：2018年，提升现有产品性价比，保障高品质电池供应；2020 年，基于现有技术改进的新一代锂离子动力电池实现大规模应用；2025 年，采用新化学原理的新体系电池力争实现技术变革和开发测试。 						
2016 年 2 月 	国 务院常 务会 议（2 月 24 日） 	国务院 	加快实现动力电池革命性突破；在关键材料、电池系统等共性、基础技术研发上集中发力；中央财政采取以奖代补方式，根据动力电池性能、销量等指标对企业给予奖励。 	加快实现动力电池革命性突破；在关键材料、电池系统等共性、基础技术研发上集中发力；中央财政采取以奖代补方式，根据动力电池性能、销量等指标对企业给予奖励。 						
2015 年 11 月 	《 产业关 键共 性技 术发展 指南 》（2015 年） 	国家工信部 	《产业关键共性技术发展指南（2015年）》共确定优先发展的产业关键共性技术 205项，其中包括“五、电子信息与通信业-（四）锂离子电池-2．锂离子电池关键材	《产业关键共性技术发展指南（2015年）》共确定优先发展的产业关键共性技术 205项，其中包括“五、电子信息与通信业-（四）锂离子电池-2．锂离子电池关键材						
出台日期 	政策名称 	发布部门 	电池与电池材料相关 	电池与电池材料相关 						
料及设备技术：硅基、锡基等高能量密度负极材料；钛酸锂、硬碳为代表的高功率密度、高安 全性负极 材料 （循环寿命≥10000 次）；低成本、高性能石墨负极材料（成本降低 10%以上，能量密度≥360mAh/g）。 	料及设备技术：硅基、锡基等高能量密度负极材料；钛酸锂、硬碳为代表的高功率密度、高安 全性负极 材料 （循环寿命≥10000 次）；低成本、高性能石墨负极材料（成本降低 10%以上，能量密度≥360mAh/g）。 									
