 	 										
 	 										
											
序号 	技术要求 	参数 									
											
1 	机组型式 	机组型式 	车下单元式 								
1 	机组型式 	机组型式 	平底顶出风、顶回风 								
2 	节流方式 	节流方式 	电子膨胀阀 								
3 	额定制冷量 	额定制冷量 	实际 38.06kW（要求>=37.21kW） 								
3 	额定制冷量 	额定制冷量 	进风干球温度 28℃，进风湿球温度 23℃，室外干球温度 33℃ 								
4 	室外 50℃制冷量 	室外 50℃制冷量 	实际 31kW（要求 29kW） 								
4 	室外 50℃制冷量 	室外 50℃制冷量 	进风风干球温度 35℃，进 风湿球温度 28℃，室外干球温度 50℃ 								
5 	室外 55℃制冷量 	室外 55℃制冷量 	实际 27.5kW（要求 27kW） 								
5 	室外 55℃制冷量 	室外 55℃制冷量 	进风干球温度 35℃，进风湿球温度 28℃，室外干球温度 55℃ 								
6 	制冷剂 	制冷剂 	R410A 								
7 	制热量 	制热量 	24kW（电加热） 								
8 	送风量 	送风量 	3600m³/h 								
9 	电源 	主回路 	单相 AC400V 50Hz 								
9 	电源 	控制回路 	单相 AC100V 50Hz 及 DC110V 								
10 	外形尺寸 	外形尺寸 	2450×1120×650mm（L*W*H） 								
11 	外壳材质 	外壳材质 	SUS304 不锈钢 								
											
项 目 	2017 年度 	2017 年度 	2016 年度 	2016 年度 	2015 年度 	2015 年度 					
项 目 	金额 	占比 	金额 	占比 	金额 	占比 					
轨道交通空调 	36,723.05 	89.61% 	26,066.49 	86.44% 	13,193.52 	80.46% 					
变频控制器 	2,815.98 	6.87% 	3,014.04 	10.00% 	2,505.46 	15.28% 					
维护服务 	1,440.06 	3.51% 	1,011.68 	3.36% 	581.64 	3.55% 					
商用空调 	- 	- 	61.83 	0.21% 	116.40 	0.71% 					
合 计 	40,979.10 	100.00% 	30,154.05 	100.00% 	16,397.02 	100.00% 					
											
外协加工厂商 	外协内容 	外协加工总额（不含税） 	占营业成本的比例 								
2017年度 	2017年度 	2017年度 	2017年度 								
2017年度 	2017年度 	2017年度 	2017年度 								
青岛木禾微电子有限公司 	控制板贴片 	100.25 	0.41% 								
青岛木禾微电子有限公司 	控制板贴片 	100.25 	0.41% 								
青岛沣汇电子有限公司 	控制板贴片 	18.21 	0.07% 								
青岛沣汇电子有限公司 	控制板贴片 	18.21 	0.07% 								
希革斯电子（湖北）有限公司 	控制板贴片 	7.56 	0.03% 								
希革斯电子（湖北）有限公司 	控制板贴片 	7.56 	0.03% 								
山东弘亚电子有限公司 	线束加工 	7.50 	0.03% 								
山东弘亚电子有限公司 	线束加工 	7.50 	0.03% 								
深南电路股份有限公司 	控制板贴片 	4.78 	0.02% 								
青岛润世电子科技有限公司 	控制板贴片 	1.11 	- 								
青岛润世电子科技有限公司 	控制板贴片 	1.11 	- 								
合计 	- 	139.41 	0.57% 								
合计 	- 	139.41 	0.57% 								
2016年度 	2016年度 	2016年度 	2016年度 								
2016年度 	2016年度 	2016年度 	2016年度 								
青岛木禾微电子有限公司 	控制板贴片 	62.59 	0.35% 								
青岛木禾微电子有限公司 	控制板贴片 	62.59 	0.35% 								
泰安市弘亚电子有限公司 	线束加工 	22.85 	0.13% 								
