序号 	服务环节 	服务内容 							
1 	客需采集 	通过客户培训、数据采集、市场调研等环节对客户需求进行采集。 							
2 	品牌定位 	深挖产品概念，确定客户品牌调性。 							
3 	店铺定位 	通过不同维度，对客户店铺进行定位。 							
4 	视觉输出 	通过页面框架及页面主图设计，为店铺打造视觉效果。 							
									
序号 	母服务环节 	子服务环节 	服务内容 						
1 	产品线梳理 	品类结构 	分析品类关系，提炼关联性，突出卖点，动线设计，客户生命周期，从而得出用户消费习惯，对消费决策影响的因素进行分析。 						
1 	产品线梳理 	价格体系 	对竞品进行分析，客户全年的销售策略，与品牌全网分销体系进行利益平衡。 						
1 	产品线梳理 	促销机制 	与品牌全年活动计划匹配，制定促销方案、方案类型及目标，其中包括：提高存客复购、新客获取、爆款打造、提升客单及提高转化率，从而提升品牌形象、提升客户开箱体验。 						
1 	产品线梳理 	赠品策略 	赠品选择原则与促销机制匹配。促销与赠品按照折扣折让率进行成本控制。折扣折让率一般按照主推产品标价的 15%/年，区间为 10%-25%。具体参数选择依据为“品牌影响力”和“促销力度”。 						
1 	产品线梳理 	新品开发 	通过行业大数据分析、目标市场或国外对标市场的市场调研制定新品开发方案，而后制定“新品上市计						
序号 	母服务环节 	子服务环节 	服务内容 						
划”和“营销方案”。 	划”和“营销方案”。 								
根据既定目标人群，从品牌历史、调性、形象及传递给消费者的品牌形象等维度对目标品牌进行深度分析。 	根据既定目标人群，从品牌历史、调性、形象及传递给消费者的品牌形象等维度对目标品牌进行深度分析。 								
对国内主流电商平台上主要或最新推出的的店铺形象设计工具的使用方法进行研究，如：天猫平台的“试妆台”、“AR1”、“短视频”等工具。 	对国内主流电商平台上主要或最新推出的的店铺形象设计工具的使用方法进行研究，如：天猫平台的“试妆台”、“AR1”、“短视频”等工具。 								
店铺形象设计方案包括：店铺定位（通过对店铺进行人格化形象设定后布置一系列与该风格相匹配的语言图文宣传元素）、页面结构、货品陈列、动线设计。 	店铺形象设计方案包括：店铺定位（通过对店铺进行人格化形象设定后布置一系列与该风格相匹配的语言图文宣传元素）、页面结构、货品陈列、动线设计。 								
该环节包括图片、视频、字体、音频。报告期内公司素材获取方式主要包括自主制作、外购为辅及品牌方提供。 	该环节包括图片、视频、字体、音频。报告期内公司素材获取方式主要包括自主制作、外购为辅及品牌方提供。 								
DEMO2制作、页面设计、灰度测试、BUG3修复 	DEMO2制作、页面设计、灰度测试、BUG3修复 								
测试、推导品牌流量规则，包括：客需与商品的匹配关系，影响因素。据此调整投放政策以验证前述假定，从而推导平台规则。 	测试、推导品牌流量规则，包括：客需与商品的匹配关系，影响因素。据此调整投放政策以验证前述假定，从而推导平台规则。 								
拆分平台所有流量定位，分析不同流量入口与客需间的关联性，形成品牌销售策略，包括：选品、定价及赠品等。 	拆分平台所有流量定位，分析不同流量入口与客需间的关联性，形成品牌销售策略，包括：选品、定价及赠品等。 								
