类别 	产品小类 	性质、用途、功效 	适用农作物 												
除草剂 	草甘膦 	灭生性除草剂 	大豆、果园 												
除草剂 	草甘膦 	灭生性除草剂 	大豆、果园 												
除草剂 	2,4-D 	防除阔叶杂草 	水稻、小麦 												
除草剂 	莠去津 	防除禾本科和阔叶杂草 	玉米 												
除草剂 	百草枯 	灭生性除草剂 	玉米、大豆、甘蔗、果园 												
除草剂 	莠灭净 	防除禾本科和阔叶杂草 	玉米、甘蔗 												
杀虫剂 	毒死蜱 	咀嚼式和刺吸式口器害虫 	大田作物、蔬菜、水果 												
杀虫剂 	吡虫啉 	广谱杀虫 	大田作物、蔬菜、水果 												
杀虫剂 	噻虫嗪 	广谱杀虫 	大田作物、蔬菜、水果 												
杀菌剂 	嘧菌酯 	广谱杀菌 	大田作物、蔬菜、水果 												
杀菌剂 	百菌清 	广谱杀菌 	蔬菜、水果 												
杀菌剂 	多菌灵 	广谱杀菌 	大田作物、蔬菜 												
杀菌剂 	氟环唑 	广谱杀菌 	大田作物、蔬菜、水果 												
杀菌剂 	克菌丹 	广谱杀菌 	蔬菜、水果 												
															
项目 	2017 年度 	2017 年度 	2016 年度 	2016 年度 	2015年度 	2015年度 									
项目 	金额 	比重（%） 	金额 	比重（%） 	金额 	比重（%） 									
除草剂 	434,078.20   	86.45 	324,264.64   	86.45 	263,730.58   	91.15 									
除草剂 	434,078.20   	86.45 	324,264.64   	86.45 	263,730.58   	91.15 									
杀虫剂 	29,705.30   	5.92 	21,133.21   	5.63 	12,597.11   	4.35 									
杀菌剂 	35,754.52   	7.12 	26,481.47   	7.06 	12,000.53   	4.15 									
其他 	2,549.44   	0.51 	3,229.01   	0.86 	1,017.18   	0.35 									
合 计 	502,087.45 	100.00 	375,108.33   	100.00 	289,345.40   	100.00 									
															
年度 	受托方名称 	加工产品 	金额（万元） 	占营业成本的比例 											
2017 年 	山东瀚联化工科技有限公司 	原药中间体 	  257.72   	0.06% 											
2017 年 	山东瀚联化工科技有限公司 	原药中间体 	  257.72   	0.06% 											
2017 年 	唐山市南堡开发区晋广化工产品有限公司 	原药中间体 	135.12 	0.03% 											
2017 年 	唐山市南堡开发区晋广化工产品有限公司 	原药中间体 	135.12 	0.03% 											
2017 年 	合计 	- 	392.84 	0.10% 											
2017 年 	合计 	- 	392.84 	0.10% 											
2016 年 	山东瀚联化工科技有限公司 	原药中间体 	459.73   	0.15% 											
2016 年 	山东瀚联化工科技有限公司 	原药中间体 	459.73   	0.15% 											
2016 年 	唐山市南堡开发区晋广化工产品有限公司 	原药中间体 	81.20   	0.03% 											
2016 年 	唐山市南堡开发区晋广化工产品有限公司 	原药中间体 	81.20   	0.03% 											
2016 年 	合计 	- 	540.93 	0.18% 											
2016 年 	合计 	- 	540.93 	0.18% 											
2015 年 	山东瀚联化工科技有限公司 	原药中间体 	70.43   	0.03% 											
2015 年 	山东瀚联化工科技有限公司 	原药中间体 	70.43   	0.03% 											
2015 年 	合计 	- 	70.43   	0.03% 											
2015 年 	合计 	- 	70.43   	0.03% 											
															
市 场 区 域  	主 营 业 务 收入 	销 售 占 比  	具 体 国 家 或 地 区  												
南美洲 	266,171.91 	53.01% 	阿根廷、巴西、委内瑞拉、哥伦比亚、巴拉圭、乌拉圭、玻利维亚、厄瓜多尔、秘鲁 												
南美洲 	266,171.91 	53.01% 	阿根廷、巴西、委内瑞拉、哥伦比亚、巴拉圭、乌拉圭、玻利维亚、厄瓜多尔、秘鲁 												
北美洲 	63,374.13 	12.62% 	美国、墨西哥、洪都拉斯、尼加拉瓜、古巴、危地马拉、哥斯达黎加、萨尔瓦多、巴拿马、加拿大、伯利兹 												
大洋洲 	50,215.26 	10.00% 	澳大利亚、新西兰 												
