序号 	名称 	立法机构 	生效日期 					
1 	《医疗器械监督管理条例》   	国务院 	2014-06-01 					
2 	《医疗器械分类规则》 	国家食品药品监督管理局   	2000-04-10 					
3 	《医疗器械生产企业质量体系考核办法》 	国家食品药品监督管理局   	2000-07-01 					
4 	《医疗器械标准管理办法》 	国家食品药品监督管理局   	2002-05-01 					
5 	《医疗器械临床试验规定》   	国家食品药品监督管理局   	2004-04-01 					
6 	《医疗器械经营企业许可证管理办法》 	国家食品药品监督管理局   	2004-08-09 					
7 	《医疗器械生产日常监督管理规定》 	国家食品药品监督管理局   	2006-01-19 					
8 	《医疗器械生产质量管理规范（试行）》 	国家食品药品监督管理局   	2011-01-01 					
序号 	名称 	立法机构 	生效日期 					
9 	《医疗器械生产质量管理规范检查管理办法（试行）》 	国家食品药品监督管理局   	2011-01-01 					
10 	《医疗器械召回管理办法（试行）》 	卫生部 	2011-07-01 					
11 	《医疗器械注册管理办法》   	国家食品药品监督管理局   	2014-10-01 					
12 	《医疗器械生产监督管理办法》 	国家食品药品监督管理局   	2014-10-01 					
13 	《医疗器械经营监督管理办法》 	国家食品药品监督管理局   	2014-10-01 					
14 	《医疗器械说明书和标签管理规定》 	国家食品药品监督管理局   	2014-10-01 					
15 	《中华人民共和国药品管理法》 	全国人大常委会 	2001-12-01 					
16 	《中华人民共和国药品管理法实施条例》 	国务院 	2002-09-15 					
17 	《药品生产质量管理规范》  	卫生部 	2011-03-01 					
18 	《药品经营质量管理规范》  	卫生部 	2013-06-01 					
19 	《药品生产质量管理规范认证管理办法》 	国家食品药品监督管理局   	2011-08-02 					
20 	《药品经营质量管理规范认证管理办法》 	国家食品药品监督管理局   	2003-04-24 					
21 	《药品注册管理办法》  	国家食品药品监督管理局 	2007-10-01 					
22 	《医疗器械临床试验质量管理规范》 	国家食品药品监督管理总局、国家卫生和计划生育委员会 	2016-03-24 					
23 	《医疗器械质量管理体系用于法规的要求》 	国家食品药品监督管理总局 	2017-01-19 					
								
公司名称 	产品名称 	销售金额 						
云南白药 	云南白药膏 	约 12 亿元 						
奇正藏药 	奇正消痛贴膏 	7.92 亿元 						
羚锐制药 	壮骨麝香止痛膏、通络祛痛膏 	7.39 亿元 						
天和药业（华润三九） 	天和骨通贴膏 	约 3 亿元 						
								
脚踝护具 	兰盾健甲笔 							
								
