产品布局 	产品布局 	主要产品 	占 2017 年主营业务收入比例（%） 	占 2016 年主营业务收入比例（%） 	占 2015年主营业务收入比例（%） 			
输变电监测设备 	变电监测设备 	智能巡检机器人 	55.08 	36.11 	3.18 			
输变电监测设备 	变电监测设备 	智能除湿器、油色谱、红外测温在线监测装置、避雷器在线监测装置等 	19.01 	27.84 	52.54 			
输变电监测设备 	输电监测设备 	图像/视频在线监测装置、微气象在线监测装置等 	5.92 	10.28 	10.22 			
配电及自动化控制设备 	配电及自动化控制设备 	故障在线监测装置、环网柜、箱式开闭所等 	20.00 	25.78 	34.06 			
								
变电站智能巡检机器人产品示图 	变电站智能巡检机器人产品示图 							
智能巡检机器人（户外轮式） 	智能巡检机器人（户内挂轨式） 							
智能巡检机器人（户外轮式） 	智能巡检机器人（户内挂轨式） 							
 	 							
 	 							
 	 							
								
序号 	产品名称 	产品图示 	产品用途 					
1 	智能除湿器 	 	安装于户外端子箱等箱体内，对箱体内的温湿度变化进行实时监测，并根据温湿度条件自动启停进行除湿排水，消除凝露，从而有效防止因凝露造成箱内对地绝缘电阻降低、二次回路接地或短路以及由此产生的设备误动等严重危害 					
2 	油色谱 	 	实时在线监控变压器、电抗器等油浸式高压设备的绝缘油中溶解的故障特征气体和微水的含量、增长率等，及时预报设备的隐患信息 					
3 	红外测温在线监测装置 	 	系统采用红外热像仪对电力设备进行非接触式温度监测，及时发现电力设备温度异常现象，并结合可见光图像进行故障定位分析 					
4 	避雷器在线监测装置 	 	对避雷器泄露电流、基波阻性电流及累计落雷次数进行采集与分析，实时监测避雷器可能发生的内部缺陷 					
5 	其他 	其他产品还包括 GIS 局部放电在线监测系统、铁芯接地在线监测装置、状态接入控制器 CAC、SF6微水密度在线监测系统等 	其他产品还包括 GIS 局部放电在线监测系统、铁芯接地在线监测装置、状态接入控制器 CAC、SF6微水密度在线监测系统等 					
								
序号 	产品名称 	产品图示 	产品用途 					
1 	图像/视频 在 线监测装置 	 	通过图像视频装置对输电线路本体，包括杆塔、导线、绝缘子、金具等的运行情况以及线路周边通道环境情况（施工、树木生长等）进行实时监控 					
2 	微气象在线监测装置 	 	通过采集架空输电线路走廊监测点的风向、风速、气温等局部气象数据，并以无线方式传送至服务器，供运行管理人员了解监测点的实时气象信息 					
3 	其他 	其他产品还包括覆冰在线监测装置、导线温度在线监测装置等 	其他产品还包括覆冰在线监测装置、导线温度在线监测装置等 					
								
序号 	产品名称 	产品图示 	产品用途 					
1 	故障在线监测装置 	 	通过各种高精度、高采样率的传感器对配电线路的接地故障、短路故障、线路负荷等信息进行动态监测，并通过告警提示等方式引导工作人员快速准确地找到故障点，以提高工作效率，保障配电线路的运行安全 					
2 	气体绝缘环网柜系列 	 	环网柜作为开关柜的类型之一，可在供电系统中实现开合、控制和保护用电设备的功能。此外，本产品通过气体实现各回路间的绝缘、封闭作用，同时具备对开关单位的即时情况进行远程监视和控制功能，从而保障配电网络系统的智能性、可靠性和灵活性 					
3 	固体绝缘环网柜系列 	 	本产品通过环氧树脂和硅橡胶实现各回路间的绝缘、封闭作用，其他特征与气体绝缘环网柜相同 					
4 	箱式开闭所 	 	为环网柜的组合方式，实现环网柜的组合功能 					
5 	其他 	其他产品还包括开关柜测温系统、站所终端等 	其他产品还包括开关柜测温系统、站所终端等 					
								
类别 	标准 							
输变电 监测设备 	《变电设备在线监测系统技术导则》 《变压器油中溶解气体在线监测装置技术规范》 《电容型设备及金属氧化物避雷器绝缘在线监测装置技术规范》 《变电设备在线监测系统运行管理规范》 《变电设备在线监测系统安装验收规范》 《变电设备在线监测装置检验规范第 1 部分：通用检验规范》 《变电设备在线监测装置检验规范第 2 部分：变压器中溶解气体在线监测装置》 《变电设备在线监测装置检验规范第 3 部分：电容型设备及金属氧化物避雷器绝缘在线监测装置》 《基于 DL/T860 标准的变电设备在线监测装置通用技术规范》 《输变电设备状态监测系统接入通信规约（输电 I2 接口）》 《变电站智能巡检机器人技术规范（通用）》 《变电站智能巡检机器人专用规范（单站型）》 《变电站智能巡检机器人专用规范（集中使用型）》 							
配电及自动化控制设备 	《配电自动化技术导则》 《配电自动化主站系统功能规范》 《配电网自动化系统远方终端》 《配电自动化系统功能规范》 《配电自动化终端/子站功能规范》 							
类别 	标准 							
《高压开关设备和控制设备标准的共用技术要求》 《3.6 kV~40.5 kV  高压交流负荷开关》 								
								
时间 	文件名 	发文单位 	主要内容 					
2017.11 	《高端智能再制造行动计划（2018-2020年）》 	工信部 	面向化工、冶金和电力等行业大型机电装备维护升级需要，鼓励应用智能检测、远程监测、增材制造等手段开展再制造技术服务，扶持一批服务型高端智能再制造企业 					
2017.07 	《新一代人工智能发展规划》 	国务院 	到2020年人工智能总体技术和应用与世界先进水平同步，人工智能产业成为新的重要经济增长点；到2025年人工智能基础理论实现重大突破，部分技术与应用达到世界领先水平，人工智能成为带动我国产业升级和经济转型的主要动力，智能社会建设取得积极进展；到2030年人工智能理论、技术与应用总体达到世界领先水平，成为世界主要人工智能创新中心 					
2017.06 	《“十三五”国家基础研究专项规划》 	科技部 	围绕煤炭清洁高效利用和新型节能技术、可再生能源与氢能、先进核能与核安全、智能电网、深层油气勘探开发、能源基元与催化，加强碳基能源清洁转化、源网荷协同机制、深层油气成藏机理和生态监测预警等基础研究的支撑引领 					
2017.03 	《关于金融支持制造强国建设的指导意见》 	工信部、央行等五部门 	积极支持符合条件的金融机构和制造业企业在制造业集聚地区，通过控股、参股等方式发起设立金融租赁公司，支持智能电网成套设备等高端装备重点领域扩大市场应用和提高国际竞争力 					
2017.02 	《2017年能源工作指导意见》 	能源局 	制订实施《关于推进高效智能电力系统建设的实施意见》，配套制订各省（区、市）具体工作方案；研究制订《智能电网2030战略》，推动建立智能电网发展战略体系 					
